"source_repo","path","size","url","local_path","downloaded"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","BF_Map_Neurosynth_Topic_Ke_Figure6.mlx","303319","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/BF_Map_Neurosynth_Topic_Ke_Figure6.mlx","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\BF_Map_Neurosynth_Topic_Ke_Figure6.mlx","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","BayesfactorMap_MainAnalysis.asv","8622","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/BayesfactorMap_MainAnalysis.asv","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\BayesfactorMap_MainAnalysis.asv","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","BayesfactorMap_MainAnalysis.m","8642","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/BayesfactorMap_MainAnalysis.m","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\BayesfactorMap_MainAnalysis.m","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","BrainFigureInManucript_Figure2_3_5.mlx","4664827","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/BrainFigureInManucript_Figure2_3_5.mlx","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\BrainFigureInManucript_Figure2_3_5.mlx","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","ClusterControl.asv","2416","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/ClusterControl.asv","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\ClusterControl.asv","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","ClusterControl.m","2416","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/ClusterControl.m","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\ClusterControl.m","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","CreateConsensusMap.asv","5871","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/CreateConsensusMap.asv","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\CreateConsensusMap.asv","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","CreateConsensusMap.m","6184","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/CreateConsensusMap.m","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\CreateConsensusMap.m","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","Figure4Amygdala_PAG.mlx","23067","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/Figure4Amygdala_PAG.mlx","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\Figure4Amygdala_PAG.mlx","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","Final_SystemComponentMap_Consensus.mat","5296691","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/Final_SystemComponentMap_Consensus.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\Final_SystemComponentMap_Consensus.mat","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","Final_SystemComponentMap_Consensus_AfterClusterControl.mat","5342395","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/Final_SystemComponentMap_Consensus_AfterClusterControl.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\Final_SystemComponentMap_Consensus_AfterClusterControl.mat","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","Final_SystemComponentMap_Consensus_BeforeClusterControl.mat","5342850","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/Final_SystemComponentMap_Consensus_BeforeClusterControl.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\Final_SystemComponentMap_Consensus_BeforeClusterControl.mat","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","Hansen_2022_PET_tracer_maps_Zscored_Averaged.mat","47732520","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/Hansen_2022_PET_tracer_maps_Zscored_Averaged.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\Hansen_2022_PET_tracer_maps_Zscored_Averaged.mat","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","MetaInfo_IDoff.xlsx","31617","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/MetaInfo_IDoff.xlsx","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\MetaInfo_IDoff.xlsx","True"
